Title,Geography,Industry,Profession,Tickers
Consumer Services India,India,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", NSE:SUNTV NSE:DISHTV NSE:EIHOTEL NSE:NAUKRI NSE:SHOPERSTOP NSE:JETAIRWAYS NSE:TRENT NSE:JAGRAN NSE:COX&KINGS NSE:HTMEDIA NSE:DEN BOM:500285 NSE:TV18BRDCST
Top 25 Hong Kong,"Hong Kong, Taiwan","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", HKG:0883 HKG:0700 HKG:1299 HKG:0013 HKG:0762 HKG:0016 HKG:2388 HKG:0001 HKG:0011 HKG:1928 HKG:0002 HKG:1972 HKG:0004 HKG:0151 HKG:0101 HKG:0012 HKG:1044 HKG:1109 HKG:1128 HKG:0880 HKG:0836 HKG:1688 HKG:0010 HKG:0960 HKG:0992
Consumer Services Hong Kong,Hong Kong,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", HKG:1928 HKG:1128 HKG:0880 HKG:1688 HKG:0293 HKG:0069 HKG:2282 HKG:0511 HKG:3368 HKG:1828 HKG:0330 HKG:3389 HKG:0891 HKG:0242 HKG:0555 HKG:0589 HKG:0573 HKG:0999 HKG:0393 HKG:1968 HKG:0970 HKG:0571
Consumer Services France,France,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", EPA:VIV EPA:MT EPA:PP EPA:CA EPA:SW EPA:DEC EPA:MMB EPA:HAV EPA:AF EPA:RCF EPA:IPS EPA:RAL EPA:TCH EPA:GG EPA:SESG
Top 25 New Zealand,"Australia, New Zealand","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", NZE:FBU NZE:CEN NZE:AIA NZE:VCT NZE:TPW NZE:SKT NZE:RYM NZE:POT NZE:IFT NZE:GMT NZE:AIR NZE:ANO NZE:MFT NZE:WHS NZE:FRE NZE:NPX NZE:ARG NZE:TWR NZE:EBO NZE:SAN NZE:NZX ASX:KMD NZE:SKL NZE:PFI NZE:HLG
Consumer Services New Zealand,"Australia, New Zealand",Consumer Services,"Asset Management, Debt, Equities, Investment Banking", NZE:SKT NZE:AIR NZE:WHS ASX:KMD NZE:HLG
Top 25 Taiwan,"Hong Kong, Taiwan","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", TPE:2317 TPE:6505 TPE:2412 TPE:1301 TPE:1303 TPE:2002 TPE:2382 TPE:2881 TPE:2454 TPE:2886 TPE:3045 TPE:2498 TPE:2308 TPE:1216 TPE:4904 TPE:2357 TPE:2105 TPE:1402 TPE:2303 TPE:2880 TPE:2324 TPE:2207 TPE:2347 TPE:3673 TPE:3697
Consumer Services Taiwan,Taiwan,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", TPE:2207 TPE:2618 TPE:2723 TPE:2704 TPE:6281 TPE:2706
Consumer Services United Kingdom,United Kingdom,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", LON:PSON LON:WPP LON:REL LON:KGF LON:NXT LON:WTB LON:ITV LON:EZJ LON:INF LON:WMH LON:TT LON:INCH LON:DMGT LON:LAD LON:UBM LON:GNK LON:DEB LON:FGP LON:DXNS LON:GRG LON:ITE LON:KESA LON:MARS
Top 25 Japan,Japan,"All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", TYO:9793
Consumer Services Japan,Japan,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", TYO:9020
Top 25 Utilities,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Utilities,"Asset Management, Debt, Equities, Investment Banking", EPA:GSZ NYSE:SO ETR:EOAN LON:NG EPA:EDF NYSE:EXC LON:IPR NYSE:D NYSE:DUK NYSE:NEE LON:CNA ETR:RWE NYSE:FE HKG:0002 NYSE:SE NYSE:ED NYSE:PGN NYSE:PPL NYSE:SRE NYSE:EIX NYSE:XEL NYSE:ETR ASX:ORG NYSE:NU NYSE:DTE
Utilities New Zealand,"Australia, New Zealand",Utilities,"Asset Management, Debt, Equities, Investment Banking", NZE:CEN NZE:VCT NZE:TPW
Top Companies Portugal,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", ELI:EDPR ELI:SON
Utilities India,India,Utilities,"Asset Management, Debt, Equities, Investment Banking", NSE:POWERGRID NSE:RPOWER NSE:TATAPOWER NSE:NHPC NSE:PETRONET NSE:ADANIPOWER NSE:JSWENERGY NSE:GUJRATGAS NSE:CESC NSE:IBPOW NSE:PTC NSE:BFUTILITIE NSE:NTPC
Utilities Hong Kong,Hong Kong,Utilities,"Asset Management, Debt, Equities, Investment Banking", HKG:0002 HKG:0836 HKG:0270 HKG:3800 HKG:1083 HKG:2380 HKG:0202 HKG:0182
Utilities Canada,Canada,Utilities,"Asset Management, Debt, Equities, Investment Banking", TSE:PPL TSE:FTS TSE:EMA TSE:NPI TSE:CPX TSE:ATP TSE:JE TSE:AQN
Top 25 Basic Materials,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Basic Materials,"Asset Management, Debt, Equities, Investment Banking", ASX:BHP ASX:RIO HKG:1088 ETR:BAYN LON:AAL LON:XTA NYSE:DOW TSE:ABX EPA:AI LON:GLEN NYSE:PX TSE:G NYSE:SCCO ETR:LIN NYSE:MOS AMS:MT NYSE:NEM BIT:TEN NYSE:ECL ASX:NCM TSE:TCK.B NYSE:PPG TPE:1301 LON:ANTO LON:FRES
Basic Materials Hong Kong,Hong Kong,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", HKG:0656 HKG:1378 HKG:1208 HKG:0975 HKG:1333 HKG:2168 HKG:0297 HKG:0189 HKG:1051 HKG:1768 HKG:0581 HKG:0546 HKG:0433 HKG:1029 HKG:1104
Basic Materials Australia,"Australia, New Zealand",Basic Materials,"Asset Management, Debt, Equities, Investment Banking", ASX:BHP ASX:RIO ASX:NCM ASX:FMG ASX:ORI ASX:IPL ASX:ILU ASX:EXT ASX:OZL ASX:AZT ASX:RRL ASX:WHC ASX:SGM ASX:AWC ASX:AGO ASX:MIN ASX:NUF ASX:PNA ASX:OST ASX:PRU ASX:MGX ASX:PDN ASX:SDL ASX:MML ASX:RSG ASX:BSL ASX:AQA ASX:GCL ASX:KCN ASX:SLR ASX:DML ASX:GB
Basic Materials Japan,Japan,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", TYO:4185
Basic Materials United States,United States,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", NYSE:DOW NYSE:PX NYSE:SCCO NYSE:MOS NYSE:NEM NYSE:ECL NYSE:PPG NYSE:IP NYSE:CF NYSE:NUE NYSE:AA NASDAQ:SIAL NYSE:FMC NYSE:CNX NYSE:EMN NYSE:ARG NYSE:CLF NYSE:BTU NYSE:ASH NYSE:ALB NASDAQ:RGLD NYSE:SOA NYSE:ROC NYSE:AVY NYSE:ATI NYSE:NEU NYSE:HUN NYSE:UFS
Top 25 Financials,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ","Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", NYSE:BRK.B HKG:1288 HKG:3988 NYSE:V ASX:CBA HKG:2628 NYSE:BAC NYSE:C TSE:RY ASX:WBC TSE:TD NYSE:AXP NYSE:USB TSE:BNS NYSE:AIG LON:STAN ASX:NAB NYSE:MA NYSE:SPG NYSE:GS HKG:1299 EPA:BNP HKG:3328 HKG:3968 TSE:BMO
Financials United Kingdom,United Kingdom,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", LON:STAN LON:PRU LON:BARC LON:AV LON:OML LON:SL LON:HMSO LON:ADN LON:HL LON:IAP LON:DLN LON:AML LON:PFG LON:SGRO LON:SHB LON:GPOR LON:JUP LON:BEZ LON:IPF LON:RAT LON:TLPR LON:SVS LON:HSTN LON:GRI LON:CAPC
Financials Australia,"Australia, New Zealand","Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", ASX:CBA ASX:WBC ASX:NAB ASX:WDC ASX:QBE ASX:AMP ASX:SUN ASX:WRT ASX:MQG ASX:IAG ASX:SGP ASX:GPT ASX:GMG ASX:CFX ASX:ASX ASX:DXS ASX:MGR ASX:LLC ASX:CPU ASX:CRF ASX:BOQ ASX:REA ASX:CGF ASX:CQO ASX:IFL ASX:CQR ASX:PPT ASX:ABP ASX:MMS ASX:FXL ASX:CMW ASX:CH
Financials United States,United States,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", NYSE:BRK.B NYSE:V NYSE:BAC NYSE:C NYSE:AXP NYSE:USB NYSE:AIG NYSE:MA NYSE:SPG NYSE:GS NYSE:BLK NYSE:COF NYSE:MET NYSE:AMT NYSE:MS NYSE:PSA NYSE:BK NYSE:TRV NYSE:ACE NYSE:BEN NYSE:PRU NYSE:AFL NYSE:HCP NYSE:EQR NYSE:STT NYSE:VTR NYSE:CB NYSE:DFS NASDAQ:CM
Financials Japan,Japan,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", TYO:8424
Financials Canada,Canada,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", TSE:RY TSE:TD TSE:BNS TSE:BMO TSE:BAM.A TSE:GWO TSE:MFC TSE:PWF TSE:SLF TSE:NA TSE:IGM TSE:IFC TSE:FFH TSE:FNV TSE:CIX TSE:X TSE:FCR TSE:CWB TSE:MIC TSE:CSH.UN TSE:FN TSE:FSV TSE:CF TSE:GMP
Financials Hong Kong,Hong Kong,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", HKG:1299 HKG:0016 HKG:2388 HKG:0001 HKG:0011 HKG:1972 HKG:0004 HKG:0101 HKG:0012 HKG:1109 HKG:0010 HKG:0960 HKG:0023 HKG:0683 HKG:0813 HKG:3383 HKG:0410 HKG:0053 HKG:0302 HKG:3377 HKG:0054 HKG:0165 HKG:0272 HKG:0123 HKG:3360 HKG:0846 HKG:1813 HKG:0034 HK
Top 25 Consumer Goods,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", NYSE:KO EBR:ABI NYSE:PEP LON:BATS LON:ULVR ETR:VOW NYSE:MO NYSE:KFT LON:SAB LON:DGE NYSE:CL NYSE:MON NYSE:NKE NYSE:F EPA:BN NYSE:KMB AMS:HEIN NYSE:GM EPA:RMS EPA:RI NYSE:RAI NYSE:GIS EPA:CDI NYSE:EL NYSE:LO
Consumer Goods Japan,Japan,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", TYO:7832
Consumer Goods United States,United States,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", NYSE:KO NYSE:PEP NYSE:MO NYSE:KFT NYSE:CL NYSE:MON NYSE:NKE NYSE:F NYSE:KMB NYSE:GM NYSE:RAI NYSE:GIS NYSE:EL NYSE:LO NYSE:ADM NYSE:HNZ NYSE:K NYSE:COH NYSE:VFC NYSE:JCI NYSE:HSY NYSE:MJN NYSE:RL NYSE:BF.B NASDAQ:ATVI NASDAQ:MAT NASDAQ:MNST NYSE:CPB NYSE
Consumer Goods Canada,Canada,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", TSE:MG TSE:SAP TSE:VT TSE:GIL TSE:MFI TSE:LNR NYSE:COT
Consumer Goods Hong Kong,Hong Kong,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", HKG:0151 HKG:1044 HKG:0551 HKG:0506 HKG:0175 HKG:3998 HKG:0606 HKG:1836 HKG:0829 HKG:0868 HKG:0210 HKG:2020 HKG:1112 HKG:0321 HKG:1068 HKG:0425 HKG:0751 HKG:1234 HKG:2222 HKG:2331 HKG:1899 HKG:0653 HKG:0729 HKG:0375 HKG:1999 HKG:0621 HKG:0904 HKG:0738 HK
Consumer Goods United Kingdom,United Kingdom,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", LON:BATS LON:ULVR LON:SAB LON:DGE LON:ABF LON:GKN LON:PSN LON:TW LON:PZC LON:BDEV LON:BWY LON:BVIC LON:RDW LON:TATE
Top 25 Germany,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", ETR:VOW ETR:SAP ETR:BAYN ETR:DTE ETR:EOAN ETR:DBK ETR:LIN ETR:RWE ETR:DPW ETR:CON ETR:ADS ETR:BEI ETR:MAN ETR:DB1 ETR:TKA ETR:HEI ETR:CBK ETR:DPB ETR:SZU ETR:BNR ETR:LXS ETR:FRA ETR:SPR ETR:PSM ETR:FIE
Consumer Goods Germany,Germany,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", ETR:VOW ETR:CON ETR:ADS ETR:BEI ETR:SZU ETR:RHM ETR:ZIL2 ETR:BYW ETR:DAIN
Consumer Goods India,India,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", NSE:BAJAJ-AUTO NSE:NESTLEIND NSE:BOSCHLTD NSE:TITAN NSE:MARICO NSE:DABU NSE:EXIDEIND NSE:GILLETTE NSE:EMAMILTD NSE:BATAINDIA NSE:MRF NSE:APOLLOTYRE NSE:TTKPRESTIG NSE:EIDPARRY NSE:GITANJALI NSE:WABCOINDIA NSE:PHOENIXLTD NSE:AMTEKINDIA NSE:AMTEKAUTO NSE:K
Consumer Goods France,France,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", EPA:BN EPA:RMS EPA:RI EPA:CDI EPA:RNO EPA:ML EPA:RCO EPA:BB EPA:FR EPA:SK EPA:UG EPA:EO EPA:BEN EPA:OR
Top 25 Italy,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", BIT:ENI BIT:TEN BIT:TIT BIT:F BIT:ENEI BIT:EXO BIT:ERG BIT:COF BIT:STM
Consumer Goods Italy,Italy,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", BIT:F
Consumer Goods Taiwan,Taiwan,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", TPE:1216 TPE:2105 TPE:1402 TPE:3008 TPE:9904 TPE:2201 TPE:1434 TPE:1227 TPE:2204 TPE:9914 TPE:1234 TPE:1440 TPE:2206 TPE:1476 TPE:1201 TPE:1419 TPE:2913 TPE:1707 TPE:6209 TPE:3059 TPE:1737 TPE:2102 TPE:9938 TPE:2911 TPE:1217 TPE:1604 TPE:1203 TPE:1233 TP
Top 25 Chinese HK listed,"Hong Kong, Taiwan","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", HKG:1288 HKG:3988 HKG:2628 HKG:1088 HKG:0728 HKG:3328 HKG:3968 HKG:2601 HKG:0998 HKG:1898 HKG:1099 HKG:2333 HKG:0763 HKG:1211 HKG:2009 HKG:3993 HKG:0038 HKG:2698 HKG:0857
Consumer Goods Chinese HK listed,Hong Kong,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", HKG:2333 HKG:1211 HKG:2698
Financials Germany,Germany,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", ETR:DBK ETR:DB1 ETR:CBK ETR:DPB ETR:DWN ETR:DEQ ETR:ARL
Financials France,France,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", EPA:BNP EPA:CS EPA:UL EPA:ACA EPA:KN EPA:LI EPA:CNP EPA:GFC EPA:ICAD EPA:FDR EPA:MF EPA:ELE EPA:RF EPA:MERY EPA:SIL EPA:NXI
Financials India,India,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", NSE:HDFC NSE:L&TFH NSE:AXISBANK NSE:DLF NSE:BANKBARODA NSE:BANKINDIA NSE:CANBK NSE:INDUSINDBK NSE:YESBANK NSE:IDBI NSE:BAJAJFINSV NSE:RELCAPITAL NSE:INDIANB NSE:OBEROIRLTY NSE:FEDERALBNK NSE:ALBK NSE:CRISIL NSE:CORPBANK NSE:ANDHRABANK NSE:INGVYSYABK NSE:
