Title,Address,Geographic,Industry,Profession
AIR CANADA,ACb.TO,Canada,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
AIR CHINA,0753.HK,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
AIR FRANCE KLM,AIRF.PA,France,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
AIR New Zealand,AIR.NZ,New Zealand,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
EVA AIRWAYS,2618.TW,Taiwan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
US AIRWAYS ,$LCC,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JET AIRWAYS,JET.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JETBLUE AIRWAYS,$JBLU,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ALASKA AIR ,$ALK,United States,Financials,"Asset Management,Debt,Equities,Investment Banking"
SKYWEST,$SKYW,United States,Financials,"Asset Management,Debt,Equities,Investment Banking"
EASYJET,EZJ.L,United Kingdom,Financials,"Asset Management,Debt,Equities,Investment Banking"
ALL NIPPON AIRWAYS ,9202.T,Japan,Financials,"Asset Management,Debt,Equities,Investment Banking"
TRUSTPOWER,TPW.NZ,New Zealand,Health Care,"Asset Management,Debt,Equities,Investment Banking"
EDP,EDP.LS,Portugal,Health Care,"Asset Management,Debt,Equities,Investment Banking"
EDP RENOVAVEIS,EDPR.LS,Portugal,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CONTACT ENERGY,CEN.NZ,New Zealand,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BF UTILITIES,BFUT.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHINA SUNTIEN GREEN ENERGY,0956.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHINA WINDPOWER ,0182.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
NHPC,NHPC.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ENEL GREEN POWER,EGPW.MI,Italy,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SJVN,SJVN.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JAIPRAKASH POWER VENTURES,JAPR.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
INDIABULLS POWER,INDP.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NORTHLAND POWER,NPI.TO,Canada,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ALGONQUIN POWER & UTILITIES,AQN.TO,Canada,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JSW ENERGY,JSWE.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
INNERGEX RENEWABLE ENERGY,INE.TO,Canada,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CHINA DATANG CORP RENEWABLE POWER,1798.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CHINA HONGQIAO ,1378.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ALUMINA,AWC.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ALUMINUM CORPORATION OF CHINA,2600.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
MINMETALS RESOURCES,1208.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA ZHONGWANG ,1333.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NIPPON LIGHT METAL,5701.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
UNITED COMPANY RUSAL ,0486.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
FURUKAWA SKY ALUMINUM,5741.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ALCOA,$AA,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
NATIONAL ALUMINIUM COMPANY,NALU.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
LUK FOOK ,0590.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
HALLENSTEIN GLASSON ,HLG.NZ,New Zealand,Technology,"Asset Management,Debt,Equities,Investment Banking"
MICHAEL HILL INTERNATIONAL,MHI.NZ,New Zealand,Technology,"Asset Management,Debt,Equities,Investment Banking"
GENESCO,$GCO,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
YOOX,YOOX.MI,Italy,Technology,"Asset Management,Debt,Equities,Investment Banking"
SAKS,$SKS,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
AMERICAN EAGLE OUTFITTERS,$AEO,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
GIORDANO INTERNATIONAL,0709.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
NEXT,NXT.L,United Kingdom,Technology,"Asset Management,Debt,Equities,Investment Banking"
TJX,$TJX,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
GLORIOUS SUN ENTERPRISES,0393.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
FOOT LOCKER,$FL,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
IT LIMITED,0999.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
ANN INC,$ANN,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
REITMANS,RETa.TO,Canada,Technology,"Asset Management,Debt,Equities,Investment Banking"
CATO,$CATO,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HENGDELI ,3389.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AEROPOSTALE,$ARO,United States,Financials,"Asset Management,Debt,Equities,Investment Banking"
AOKI ,8214.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ORIENTAL WATCH ,0398.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
POINT,2685.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SIGNET JEWELERS,$SIG,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AOYAMA TRADING,8219.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
UNITED ARROWS,7606.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ESPRIT ,0330.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
PORTS DESIGN,0589.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
NISHIMATSUYA CHAIN,7545.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
POU SHENG INTERNATIONAL,3813.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
LIMITED BRANDS,$LTD,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
KOHLS,$KSS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
URBAN OUTFITTERS,$URBN,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ASCENA RETAIL ,$ASNA,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
NORDSTROM,$JWN,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ROSS STORES,$ROST,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GUESS,$GES,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
N BROWN GROUP,BWNG.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MENS WEARHOUSE,$MW,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
PARCO,8251.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHICOS FAS,$CHS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BUCKLE,$BKE,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GAP,$GPS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
JOS A BANK CLOTHIERS,$JOSB,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
COLLECTIVE BRANDS,$PSS,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FAST RETAILING ,9983.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TRINITY,0891.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHINA DONGXIANG,3818.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FEDERATED INVESTORS,$FII,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
JUPITER FUND MANAGEMENT,JUP.L,United Kingdom,Technology,"Asset Management,Debt,Equities,Investment Banking"
PERPETUAL,PPT.AX,Australia,Technology,"Asset Management,Debt,Equities,Investment Banking"
ABERDEEN ASSET MANAGEMENT,ADN.L,United Kingdom,Oil & Gas,"Asset Management,Debt,Equities,Investment Banking"
T. ROWE PRICE ,$TROW,United States,Telecommunications,"Asset Management,Debt,Equities,Investment Banking"
HARGREAVES LANSDOWN,HRGV.L,United Kingdom,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
INVESCO,$IVZ,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
MAN GROUP ,EMG.L,United Kingdom,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
RATHBONE BROTHERS,RAT.L,United Kingdom,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
KENEDIX,4321.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
AZIMUT,AZMT.MI,Italy,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BLACKROCK,$BLK,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CI FINANCIAL,CIX.TO,Canada,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HENDERSON GROUP ,HGGH.L,United Kingdom,Utilities,"Asset Management,Debt,Equities,Investment Banking"
PLATINUM ASSET MANAGEMENT,PTM.AX,Australia,Utilities,"Asset Management,Debt,Equities,Investment Banking"
LEGG MASON,$LM,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AFFILIATED MANAGERS GROUP,$AMG,United States,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
STATE STREET,$STT,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
IGM FINANCIAL,IGM.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FRANKLIN RESOURCES,$BEN,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AGF MANAGEMENT,AGFb.TO,Canada,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
JANUS CAPITAL,$JNS,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SCHRODERS,SDRt.L,United Kingdom,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
BANK OF NEW YORK MELLON,$BK,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
BREWIN DOLPHIN ,BRW.L,United Kingdom,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
DUNDEE,DCa.TO,Canada,Financials,"Asset Management,Debt,Equities,Investment Banking"
ASHMORE GROUP,ASHM.L,United Kingdom,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SEI INVESTMENTS,$SEIC,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BROOKFIELD ASSET MANAGEMENT,BAMa.TO,Canada,Telecommunications,"Asset Management,Debt,Equities,Investment Banking"
F&C ASSET MANAGEMENT,FCAM.L,United Kingdom,Telecommunications,"Asset Management,Debt,Equities,Investment Banking"
NORTHERN TRUST,$NTRS,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
VALUE PARTNERS GROUP,0806.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
EATON VANCE,$EV,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
BANCA GENERALI,BGN.MI,Italy,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TRW AUTOMOTIVE ,$TRW,United States,Health Care,"Asset Management,Debt,Equities,Investment Banking"
TS TECH,7313.T,Japan,Financials,"Asset Management,Debt,Equities,Investment Banking"
ALPINE ELECTRONICS,6816.T,Japan,Financials,"Asset Management,Debt,Equities,Investment Banking"
GENTEX,$GNTX,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GENUINE PARTS,$GPC,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CALSONIC KANSEI,7248.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DENSO,6902.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DEPO AUTO PARTS INDUSTRIAL,6605.TW,Taiwan,Oil & Gas,"Asset Management,Debt,Equities,Investment Banking"
T RAD,7236.T,Japan,Oil & Gas,"Asset Management,Debt,Equities,Investment Banking"
TIANNENG POWER INTERNATIONAL,0819.HK,Hong Kong,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
YOROZU,7294.T,Japan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
MAGNA INTERNATIONAL,MG.TO,Canada,Technology,"Asset Management,Debt,Equities,Investment Banking"
MINTH GROUP,0425.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
TACHI S,7239.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
GKN,GKN.L,United Kingdom,Technology,"Asset Management,Debt,Equities,Investment Banking"
AUTOLIV,$ALV,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
TYC BROTHER INDUSTRIAL,1522.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ELRINGKLINGER,ZILGn.DE,Germany,Technology,"Asset Management,Debt,Equities,Investment Banking"
WABCO ,$WBC,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
WABCO INDIA,WABC.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
MITSUBA,7280.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NGK SPARK PLUG ,5334.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NHK SPRING ,5991.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
AMTEK AUTO,AMTK.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
AMTEK INDIA,AMTI.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
KEIHIN,7251.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ZHONGSHENG  ,0881.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
SANDEN,6444.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SHOWA,7274.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NIFCO,7988.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TAKATA,7312.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
TOKAI RIKA,6995.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TOKAI RUBBER INDUSTRIES,5191.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
LEAR,$LEA,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
MARTINREA INTERNATIONAL,MRE.TO,Canada,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NIPPON SEIKI,7287.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TONG YANG INDUSTRY,1319.TW,Taiwan,Financials,"Asset Management,Debt,Equities,Investment Banking"
UNIPRES,5949.T,Japan,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
CUMMINS INDIA,CUMM.NS,India,Consumer Services,"Asset Management,Debt,Equities,Investment Banking"
BORGWARNER,$BWA,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
TOPRE,5975.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
RHEINMETALL,RHMG.DE,Germany,Technology,"Asset Management,Debt,Equities,Investment Banking"
BOSCH,BOSH.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
KIRLOSKAR OIL ENGINES,KIRO.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
MOTHERSON SUMI SYSTEMS,MOSS.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
RIKEN,6462.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NISSIN KOGYO,7230.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
AISIN SEIKI ,7259.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LINAMAR,LNR.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SINOPOLY BATTERY,0729.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BREMBO,BRBI.MI,Italy,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NOK,7240.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
EXEDY,7278.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
KOITO MANUFACTURING ,7276.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PRESS KOGYO,7246.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
EXIDE INDUSTRIES,EXID.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GS YUASA,6674.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TOYODA GOSEI ,7282.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ASAHI INDIA GLASS,AISG.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TOYOTA BOSHOKU,3116.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TOYOTA INDUSTRIES,6201.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FUTABA INDUSTRIAL,7241.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TPR,6463.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LKQ,$LKQX,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
VALEO,VLOF.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TENNECO,$TEN,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JOHNSON CONTROLS,$JCI,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DANA ,$DAN,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
XINYI GLASS ,0868.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JTEKT,6473.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NSK,6471.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FAURECIA,EPED.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
RYOBI,5851.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FCC,7296.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SUZUKI MOTOR,7269.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GENERAL MOTORS,$GM,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FIAT,FIA.MI,Italy,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FIAT ,FIA_p.MI,Italy,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FIAT IND RSP,FIAn.MI,Italy,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CHINA MOTOR,2204.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GUANGZHOU AUTOMOBILE ,2238.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
VOLKSWAGEN,VOWG.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
VOLKSWAGEN,VOWG_p.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PEUGEOT,PEUP.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TVS MOTOR,TVSM.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HARLEY DAVIDSON,$HOG,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
YULON MOTOR,2201.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
YULON NISSAN MOTOR,2227.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
MITSUBISHI MOTORS,7211.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FORD MOTOR,$F,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BAJAJ AUTO,BAJA.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SANYANG INDUSTRY,2206.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
MARUTI SUZUKI INDIA,MRTI.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BMW,BMWG.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BMW,BMWG_p.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
RENAULT,RENA.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HERO MOTOCORP,HROM.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DONGFENG MOTOR  ,0489.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GREAT WALL MOTOR,2333.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PORSCHE ,PSHG_p.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
MAZDA MOTOR,7261.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NISSAN SHATAI,7222.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FUJI HEAVY INDUSTRIES,7270.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BRILLIANCE CHINA AUTOMOTIVE ,1114.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DAIHATSU MOTOR ,7262.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TOYOTA MOTOR,7203.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DAIMLER,DAIGn.DE,Germany,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HONDA MOTOR ,7267.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TESLA MOTORS,$TSLA,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BYD,1211.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GEELY AUTOMOBILE ,0175.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SVB FINANCIAL ,$SIVB,United States,Financials,"Asset Management,Debt,Equities,Investment Banking"
BANCO BPI,BBPI.LS,Portugal,Financials,"Asset Management,Debt,Equities,Investment Banking"
CHANG HWA COMMERCIAL BANK,2801.TW,Taiwan,Financials,"Asset Management,Debt,Equities,Investment Banking"
COMMERCE BANCSHARES,$CBSH,United States,Financials,"Asset Management,Debt,Equities,Investment Banking"
BANCO COMERCIAL PORTUGUES,BCP.LS,Portugal,Financials,"Asset Management,Debt,Equities,Investment Banking"
BANCO ESPIRITO SANTO,BES.LS,Portugal,Financials,"Asset Management,Debt,Equities,Investment Banking"
STATE BANK OF BIKANER AND JAIPUR,SBKB.NS,India,Financials,"Asset Management,Debt,Equities,Investment Banking"
YAMAGATA BANK,8344.T,Japan,Financials,"Asset Management,Debt,Equities,Investment Banking"
